Agency_Name,State_Name,District_Name,Tahsil_Name,Station_Name,Latitude,Longitude,Station_Type,Station_Status
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PONNALURU,BOGANAMPADU,15.3119,79.6854,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,KALAVAKUNTA,16.0948,79.4018,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,MARRIVEMULA,16.2365,79.5574,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,SANTHAMAGULUR,ELUCHURU,16.0792,79.9354,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TARLUPADU,TARLUPADU,15.6557,79.2288,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,DUPADU TRIPURANTHAKAM,15.746,78.0129,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,GANAPAVARAM,16.0372,79.4771,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,MITTAPALEM,16.0185,79.4037,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,V.V.PALEM,EAST POLINENIPALEM,15.1752,79.777,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,BOYALAPALLI,15.9669,79.3213,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,ETCHERLA,DHARMAVARAM,18.2148,83.8998,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,KOTABOMMALI,KOTTAPALLI,18.5713,84.1311,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,LAVERU,KOTHAKUNKAM,18.3138,83.7105,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,NARASANNAPETA,NARASANNAPETA,18.4201,84.0469,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,RB RAJPETA,18.6569,83.693,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,PALASA,RANGOI,18.818,84.4855,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,PONDURU,TADIVALASA,18.3772,83.83,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,RAJAM,POGIRI,18.4119,83.6944,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,RANASTHALAM,KOVVADAMACHILESAM,18.1155,83.7161,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,RANASTHALAM,PATHARLAPALLI,18.1414,83.7045,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,REGIDI,CINAASIRLAM,18.5155,83.6883,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,SEETHAMPETA,KUSIMI,18.6119,83.8263,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,SOMPETA,GOLLAVURU,18.8777,84.5783,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,VAJRAPU KOTTURU,DOKULUPADU,18.7172,84.4516,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,VAJRAPU KOTTURU,PATHATEKKALI,18.6278,84.3372,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,VANAGARA,THALAGAM,18.6497,83.5997,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,VEERAGHATTAM,S NARSIPURAM,18.7497,83.605,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,Visakhapatnam,Anakapalli,Thummapala,17.709,82.9987,GROUND,Installed
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,ANANDAPURAM,PANDALAPAKA,17.905,83.3422,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,ANANDAPURAM,SONTHYAM,17.8663,83.2958,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,BHIMUNIPATNAM,BHIMILI,17.8839,83.4474,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,BUTCHAYYAPETA,PEDAMADINA,17.7655,82.8642,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,ADDURU,17.8172,83.0236,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,DEVARAPALLI,M ALAMANDA,17.9324,83.0023,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,GAJUWAKA,AGANAMPUDI,17.6959,83.1361,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,GOLUGONDA,CHODYAM,17.6629,82.4263,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,KASIMKOTA,UGGINAPALEM,17.6475,82.8967,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,KOTAURATLA,CHOWDUVADA,17.5675,82.7282,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM Â®,PEDDA RUSHIKONDA,17.9446,83.38539,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,NAKKAPALLI,DONIVANI LAKSHMIPURAM,17.3396,82.6634,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,NATHAVARAM,ANANATAPADMANABHAPURAM,17.53,82.5081,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,NATHAVARAM,CHAMMACHINTA,17.5945,82.4654,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,PARAWADA,CHEEPURUPALLI WEST,17.5659,83.0848,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,ROLUGUNTA,SARABHAVARAM,17.7554,82.6391,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,S. RAYAVARAM,VAKAPADU,17.0778,82.1469,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,S.RAYAVARAM,R KOTHURU,17.4524,82.7152,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,V.MADUGULA,GOTIWADA AGRAHARAM,17.8654,82.8314,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM (U),VISALAKSHINAGAR,17.7549,83.3434,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM Â®,ENDADU,17.7768,83.3655,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,PADMANABHARAJUPETA,17.4918,82.7801,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,BHOGAPURAM,GUDIWADA,17.9381,83.4326,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,KONADA,18.0175,83.5638,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,CHEEPURUPALLI,KARLAM,18.2953,83.6494,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,DATTIRAJERU,CHINAKADA,18.3251,83.3966,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,GARIVIDI,GOTNANDI,18.3901,83.5909,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,GARUGUBILLI,NAGURU,18.7483,83.5217,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,GURLA,GURLA,18.2175,83.4722,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,JIYYAMMAVALASA,SHIKABADI,18.8079,83.5924,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,L.KOTA,GOLJAM,18.052,83.1701,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,MENTADA,ANDRA,18.3462,83.2037,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,NELLIMARLA,NELLIMARLA APGW,18.1491,83.4449,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,PARVATHIPURAM,DOKISEELA,18.7581,83.296,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,S.KOTA,S KOTA,18.1104,83.1383,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,CHINTAPALLI PUSAPATIREGA,18.075,83.6501,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,VEPADA,SOMPURAM,18.0384,83.1339,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,PINAVEMALI,18.0839,83.3311,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,ACHANTA,PENUANCHILI,16.5877,81.8226,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,AKIVEEDU,CHERUKUMILLI,16.538,81.3638,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,AKIVEEDU,KOLLAPARRU,16.6205,81.3873,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,ATHILI,MANCHILI,16.6621,81.6134,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,BHIMAVARAM,RAYALAM,16.5275,81.5098,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,BUTTAIGUDEM,NIMMALAGUDEM,17.0231,81.3012,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,MALLAVARAM,16.9711,81.6994,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,CHINTHALAPUDI,PRAGADAVARAM,17.0135,81.0124,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,ELURU,CHATAPARRU,16.6981,81.1448,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,GANAPAVARAM,PIPPARA,16.7113,81.5413,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,IRAGAVARAM,REPAKA,16.7176,81.7279,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,JANGAREDDYGUDEM,NIMMALAGUDEM,17.0231,81.3012,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,NARSAPURAM,LAKSHMANESWARAM,16.6834,82.1358,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,SWARNAVARIGUDEM,17.1577,81.2233,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,DHARMAJIGUDEM,16.8975,81.0082,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PALAKODERU,MOGALLU,16.6002,81.5688,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PALAKOLLU,ARATLAKATTA,16.5709,81.679,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,KOTTURU,16.6822,81.0832,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,PARIMELLA,16.739,81.5023,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PENUGONDA,CHERUKUVADA,16.6579,81.7496,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PENUMANTRA,JUTTIGA,16.6594,81.6548,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PERAVALI,MUKKAMALA,16.7475,81.7708,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,PODURU,VEDANGI,16.5609,81.7021,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,T.NARSAPURAM,T NARSAPURAM,17.1018,81.0785,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,TADEPALLIGUDEM,16.8352,81.5368,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,TANUKU,MANDAPAKA,16.7387,81.6609,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,UNDI,UTARAPALEM,16.5918,81.4971,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,UNDRAJAVARAM,CHIVATAM,16.7764,81.6796,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,VERAVASARAM,RAYAKUDURU,16.5676,81.6625,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,WEST GODAVARI,YELAMANCHILLI,CHINCHINADA,16.4618,81.7788,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,AMADAGURU,KOTTUVARI PALLI HO THUMMALA,13.9166,78.0574,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,AMARAPURAMU,VALASA,14.1608,77.9487,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,ANANTHAPURAMU,ANANTHAPURAMU,14.6967,77.5996,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,CHILAMTHURU,KODIKONDA,13.8868,77.7107,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,D.HIREHAL,D HIREHAL,14.9998,76.8491,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,DHARMAVARAM,RAVULACHERUVU,14.4171,77.7905,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,GARLADINNE,PENAKACHERLA,14.8774,77.4341,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,GOOTY,BETHAPALLI,15.1918,77.6377,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,GUMMAGATTA,GUMMAGATTA,14.5726,76.8724,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,KADIRI,KADIRI,14.1081,78.1353,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,KALYANADURG,KALYANADURG,14.5335,77.1191,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,KAMBADUR,RAMAPURAM,14.4792,77.2933,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,KOTHACHERUVU,KOTHACHERUVU,14.1849,77.7642,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,KUDAIR,JALLIPALLI,14.8057,77.3485,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,KUNDURPI,JAMBUGUMPALA,14.2532,77.0703,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,NALLACHERUVU,NALLACHERUVU,13.9289,78.1916,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,NALLAMADA,VELAMADDI,14.2312,78.0241,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,NARPALA,NARPALA,14.7025,77.8049,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,PUTTAPARTHI,PEDABALLI,14.0561,77.7723,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,PUTTAPARTHI,PUTTAPARTHI,14.152,77.8116,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,PUTTAPARTHI,SATARLAPALLI,14.0692,77.9082,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,PUTTAPARTHI,VENGALAMMA CHERUVU,14.1516,77.8596,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,RAYADURGAM,AVULADATLA,14.6858,76.8358,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,RAYADURGAM,CHADAM,14.7505,76.8383,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,RAYADURGAM,RAYADURGAM,14.7035,76.8586,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,RAYADURGAM,T VEERAPURAM HO GRAMADATLA,14.7575,76.9396,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,RODDAM,PEDDA MANTHURU,14.0033,77.4279,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,SETTUR,SETTUR,14.4433,76.9756,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,SINGANAMALA,SINGANAMALA,14.7997,77.7141,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,TALUPULA,KURLI,14.2764,78.1972,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,TANAKAL,PEDDAPALLI HO MALLAREDDYPALLI,13.8146,78.1412,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,TANAKAL,TANAKAL,13.9289,78.1916,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,URAVAKONDA,NIMBAGALLU,14.8857,77.2099,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,VIDAPANAKAL,VIDAPANAKAL,15.066,77.1805,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,YADIKI,RAYALACHERUVU,15.0543,77.8321,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,YADIKI,YADIKI,15.051,77.8691,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,ANANTHAPURAMU,YELLANURU,S KOTHAPALLI,14.5934,78.0216,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,B KOTHAKOTA,13.6554,78.2715,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,C.G.GALLU,BAKRAPETA,13.743607,79.06394,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,CHITTOOR,CHITTOOR APGW,13.34293,78.89242,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,CHOWDEPALLI,LADDIGAM,13.394,78.6232,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,GANGAVARAM,PATHIKONDA,13.182984,78.634224,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,GUDUPALLE,BISANATHAM SOLACHINTHANAPALLI,12.851,78.2617,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,GUDUPALLI,GUDUPALLI,12.7967,78.3033,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,GURRAM KONDA,YELLUTLA,13.8352,78.5805,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,K.V.PALLE,JILLELAMANDHA,13.6436,79.7004,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,KARVETINAGARAM,ANNURU,13.3733,79.4145,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,KUPPAM,ADAVIBODUGURU,12.661,78.4295,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,KUPPAM,KANGUNDHI,12.7645,78.4228,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,MADHANAPALLI,MADHANAPALLI,13.7432,78.3297,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,PENUMURU,PENUMURU,13.3224,79.185,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,PEDDAPANJANI,13.30555,79.3294,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,S.R.PURAM,CHINNATHAYYURU,13.3092,79.3286,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,SRIKALAHASTHI,INAGALURU,13.9028,79.5859,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,THAMBALAPALLI,GOPIDINNE,13.8743,78.4097,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,THAMBALAPALLI,THAMBALAPALLI,13.8227,78.448,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,TIRUPATHI,TIRUPATHI (RARS),13.6248,79.373,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,VAYALAPADU,CHINTHAPARTHI,13.6436,78.7004,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,VAYALAPADU,VAYALAPADU,13.6352,78.6442,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,VIJAYAPURAM,13.6931,79.5879,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,YERPEDU,MERLAPAKA,13.6996,79.6069,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,YERPEDU,MUNAGALAPALEM,13.6258,79.5709,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,CHITTOOR,YERPEDU,YERPEDU,13.6931,79.5879,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,KRAPA,16.6405,82.0737,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,PULLETIKURRU,16.6387,81.9438,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,CHINTOOR,CHINTOOR,17.75282,81.40698,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,CHINTOOR,YEDUGURALLAPALLI,17.7442,81.176,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,ELESWARAM,YERRAVARAM,17.23,82.1219,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,GOKAVARAM EAST GODAVARI,17.2643,81.8536,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,KOVVURU,16.9408,82.1967,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,KAPILESWRAPURAM,VEDURUMUDI,16.7949,81.9243,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,KOTIKESAVARAM,17.2039,81.7702,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,KUNAVARAM,TEKULABORU,17.5835,81.2514,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,PITAPURAM,RAPARTHI,17.1595,82.2352,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,EAST GODAVARI,RAJAMAHENDRAVARAM,KATHERU,17.0398,81.7784,GROUND,INSTALLED
